Oz40MW,siemens415W,siemens450W,aurecon1MW
0,0.302921328,0.281843045,0.35266
0,0.36179538,0.336291007,0.43968
0,0.406968599,0.385829328,0.527616
0,0.452141819,0.435367649,0.649444
0,0.497315038,0.48490597,0.738296
0,0.542488257,0.534444291,0.75112
0,0.587661476,0.583982613,0.716312
0,0.632834695,0.633520934,0.704404
0,0.630028523,0.630682512,0.70074
0.6965035,0.627222351,0.627844091,0.70074
0.722031504,0.624416179,0.62500567,0.699824
0.746875256,0.621610007,0.622167248,0.694328
0.769167032,0.618803834,0.619328827,0.688832
0.790383424,0.615997662,0.616490405,0.687916
0.812434292,0.612974445,0.613523301,0.685168
0.831815936,0.609951227,0.610556197,0.68242
0.850555464,0.60692801,0.607589093,0.679672
0.86757566,0.603904792,0.604621989,0.675092
0.8819248,0.600881575,0.601654885,0.672344
0.896126464,0.597858357,0.59868778,0.669596
0.908652764,0.598187513,0.599048694,0.667764
0.916,0.598516668,0.599409607,0.662268
0.916,0.598845824,0.59977052,0.65952
0.916,0.599174979,0.600131433,0.656772
0.916,0.599504135,0.600492346,0.65494
0.916,0.59983329,0.600853259,0.651276
0.916,0.599674078,0.600704568,0.648528
0.916,0.599514865,0.600555877,0.65036
0.916,0.599355653,0.600407186,0.654024
0.916,0.59919644,0.600258495,0.654024
0.916,0.599037227,0.600109803,0.65494
0.916,0.598878015,0.599961112,0.656772
0.916,0.593880546,0.594880997,0.660436
0.91392526,0.588883077,0.589800883,0.661352
0.901941232,0.583885609,0.584720768,0.662268
0.888463208,0.57888814,0.579640654,0.665016
0.874403524,0.573890672,0.574560539,0.666848
0.858724352,0.568893203,0.569480424,0.667764
0.841273636,0.574804522,0.575502269,0.667764
0.821997332,0.580715841,0.581524114,0.669596
0.802519508,0.58662716,0.58754596,0.665932
0.779444552,0.592538478,0.593567805,0.665932
0.757114304,0.598449797,0.59958965,0.665016
0.733859812,0.604361116,0.605611495,0.658604
0.705236644,0.590786529,0.591808095,0.62746
0,0.577211941,0.578004696,0.643948
0,0.563637354,0.564201296,0.643032
0,0.550062767,0.550397897,0.631124
0,0.53648818,0.536594498,0.569752
0,0.522913592,0.522791098,0.506548
0,0.455192585,0.453770333,0.438764
0,0.387471577,0.384749568,0.358156
0,0.319750569,0.315728804,0.283044
