wind,solar,base,float
2.813098889,0,20,1500
2.283248889,0,20,1500
2.84103,0,20,1500
2.503338333,0,20,1500
1.604577222,0,20,1500
1.681656667,0,20,1500
1.672023333,0,20,1500
0.650328333,0,20,1500
0.322596278,0,20,1500
0.589492222,0.33286,20,1500
0.115731167,0.91398,20,1500
0.1303655,1.0769,20,1500
0.192113889,1.0769,20,1500
0.338592111,1.07234,20,1500
0.556657778,1.06102,20,1500
0.834536667,1.05188,20,1500
1.057461111,1.04532,20,1500
1.144752222,1.04146,20,1500
2.253235556,1.0403,20,1500
1.951148889,1.0425,20,1500
2.255492222,0.88986,20,1500
2.164592222,0.54978,20,1500
2.436511111,0,20,1500
3.054187778,0,20,1500
2.739459444,0,20,1500
2.114586111,0,20,1500
1.190289444,0,20,1500
0.874484444,0,20,1500
0.221519611,0,20,1500
0.331012167,0,20,1500
0.959385,0,20,1500
0.808828333,0,20,1500
1.787398333,0,20,1500
1.800297778,0.41078,20,1500
1.456664444,1.0769,20,1500
0.322807778,1.0769,20,1500
0.111550389,1.0769,20,1500
0.255078278,1.06796,20,1500
0.5505255,1.05612,20,1500
0.737308333,1.04648,20,1500
0.712063889,1.03946,20,1500
0.756104444,1.03522,20,1500
1.019309444,1.03374,20,1500
2.205784444,1.03554,20,1500
2.971520556,1.04134,20,1500
2.99753,0.72556,20,1500
2.764284444,0,20,1500
3.367603889,0,20,1500
3.345656667,0,20,1500
3.439941667,0,20,1500
3.380802778,0,20,1500
2.50007,0,20,1500
1.908944444,0,20,1500
2.096560556,0,20,1500
2.062835556,0,20,1500
2.014406667,0,20,1500
2.045885,0,20,1500
1.556077778,0.37322,20,1500
1.209971667,1.04472,20,1500
2.313780556,1.0769,20,1500
2.218583333,1.0769,20,1500
1.750024444,1.0769,20,1500
1.658640556,1.06918,20,1500
1.74061,1.0605,20,1500
1.450314444,1.0542,20,1500
1.078945556,1.05034,20,1500
1.205217222,1.04898,20,1500
1.360048889,1.0506,20,1500
1.112932778,1.056,20,1500
0.883452778,0.73458,20,1500
1.305548889,0,20,1500
2.056518889,0,20,1500
1.880497222,0,20,1500
1.859682222,0,20,1500
2.406850556,0,20,1500
2.889746667,0,20,1500
3.038807778,0,20,1500
2.612727222,0,20,1500
1.861249444,0,20,1500
1.758990556,0,20,1500
1.95729,0,20,1500
1.721246667,0.035954,20,1500
1.798765,1.00396,20,1500
2.429495556,1.0769,20,1500
2.297166667,1.0769,20,1500
1.742787778,1.0769,20,1500
1.363091111,1.0769,20,1500
0.874013889,1.0769,20,1500
0.396718222,1.0769,20,1500
0.173310278,1.0769,20,1500
0.275989778,1.0769,20,1500
0.452116167,1.0769,20,1500
0.641271667,1.0769,20,1500
1.394654444,0.83576,20,1500
2.203666111,0,20,1500
2.671315556,0,20,1500
2.982151111,0,20,1500
2.895851667,0,20,1500
2.697377778,0,20,1500
2.536958333,0,20,1500
2.99332,0,20,1500
3.107568889,0,20,1500
2.482255556,0,20,1500
1.57483,0,20,1500
1.326129444,0,20,1500
0.972551667,0.011145,20,1500
0.670592222,0.147636,20,1500
0.988017778,0.26914,20,1500
0.737546667,0.34238,20,1500
0.531210222,0.45648,20,1500
0.289392056,0.5116,20,1500
0.033166333,0.47214,20,1500
0.0379901,0.4569,20,1500
0.108739111,0.2686,20,1500
0.202256389,0.188836,20,1500
0.337066944,0.057884,20,1500
0.535337611,0.03011,20,1500
0.664277778,0.0170184,20,1500
1.542401667,0,20,1500
2.338128889,0,20,1500
2.634127222,0,20,1500
2.206422222,0,20,1500
3.281323333,0,20,1500
3.320785,0,20,1500
3.125487778,0,20,1500
3.03959,0,20,1500
3.051875,0,20,1500
3.148506111,0,20,1500
2.38269,0,20,1500
1.659740556,0.0090308,20,1500
1.681055,0.132724,20,1500
2.378573889,0.23182,20,1500
1.505050556,0.3403,20,1500
1.014509444,0.41782,20,1500
0.455993778,0.4483,20,1500
0.1525735,0.4621,20,1500
0.234832444,0.49538,20,1500
0.157048333,0.42962,20,1500
0.107758667,0.36012,20,1500
0.234459056,0.197316,20,1500
0.235250667,0.092526,20,1500
0.493322222,0,20,1500
0.930208889,0,20,1500
2.431446111,0,20,1500
3.011844444,0,20,1500
2.933832222,0,20,1500
